Date,Site,Consommation (kWh),Montant facturé (€)
2024-01-01,Site A,1250,250.00
2024-01-01,Site B,980,196.00
2024-01-01,Site C,1450,290.00
2024-01-02,Site A,1180,236.00
2024-01-02,Site B,1050,210.00
2024-01-02,Site C,1380,276.00
2024-01-03,Site A,1320,264.00
2024-01-03,Site B,1100,220.00
2024-01-03,Site C,1520,304.00
2024-01-04,Site A,1280,256.00
2024-01-04,Site B,950,190.00
2024-01-04,Site C,1470,294.00
2024-01-05,Site A,1400,280.00
2024-01-05,Site B,1200,240.00
2024-01-05,Site C,1550,310.00
2024-01-06,Site A,1150,230.00
2024-01-06,Site B,890,178.00
2024-01-06,Site C,1380,276.00
2024-01-07,Site A,1300,260.00
2024-01-07,Site B,1020,204.00
2024-01-07,Site C,1480,296.00
